Introduction,Methodology,Conclusion,Others
"[""\\section{Introduction and statement of the result}This paper is concerned with the algebraic reflexivity of the set of all diameter-preserving linear bijections between $C(X)$-spaces. We shall denote by $C(X)$ the Banach algebra of all continuous complex-valued functions on a compact Hausdorff space $X$, with the usual supremum norm. Our interest focuses on the local behaviour of linear maps on $C(X)$ which preserve the diameter of the ranges of functions in $C(X)$. Let us recall that for compact Hausdorff spaces $X$ and $Y$, a map $T$ from $C(X)$ into $C(Y)$ is said to be diameter-preserving if $\\diam(T(f))=\\diam(f)$ for all $f\\in C(X)$, where $\\diam(f)$ denotes the diameter of $f(X)$. Gy\\H{o}ry and Moln\\'{a}r \\cite{GyoMol-98} introduced this kind of maps and stated the general form of diameter-preserving linear bijections of $C(X)$, when $X$ is a first countable compact Hausdorff space. Cabello S\\'anchez \\cite{Cab-99} and, independently, Gonz\\'{a}lez and Uspenskij \\cite{GonUsp-99} extended this description by removing the hypothesis of first countability. A problem addressed by different authors is the Banach--Stone type representation of diameter-preserving maps between function spaces. See, for example, the papers by Aizpuru and Rambla \\cite{AizRam-07}, Barnes and Roy \\cite{BarRoy-02}, Font and Hosseini \\cite{FonHos-19}, Gy\\H{o}ry \\cite{Gyo-99}, Jamshidi and Sady \\cite{JamSad-16}, and Rao and Roy \\cite{RaoRoy-01}.On the other hand, a linear map $T$ of $C(X)$ into itself is called a local isometry (respectively, local automorphism) if for every $f\\in C(X)$, there exists a surjective linear isometry (respectively, automorphism) $T_f$ of $C(X)$, depending on $f$, such that $T(f)=T_f(f)$. The algebraic reflexivity of both sets of surjective linear isometries and automorphisms of $C(X)$ was stated by Moln\\'ar and Zalar in \\cite[Theorem 2.2]{MolZal-99} whenever $X$ is a first countable compact Hausdorff space. Furthermore, Cabello and Moln\\'ar \\cite{CabMol-02} gave an example where that reflexivity fails even if $X$ lacks first countability at only one point. Motivated by the precedent considerations, we introduce the following concept. We say that the set of all diameter-preserving linear bijections from $C(X)$ to $C(Y)$ is algebraically reflexive if every local diameter-preserving linear map from $C(X)$ to $C(Y)$ is a diameter-preserving bijection.Our main result is the following: Let $X$ and $Y$ be first countable compact Hausdorff spaces. Then the set of all diameter-preserving linear bijections from $C(X)$ to $C(Y)$ is algebraically reflexive. <!--TRUNCATED-->""]",,,"[""\\section{Proof of Theorem \\ref{main}}Before proving our result, we fix some notation and recall the existence of certain peaking functions. Given a set $X$ with cardinal number $|X|\\geq 2$, we denote \\begin{align*}\\widetilde{X}&=\\left\\{(x_1,x_2)\\in X\\times X\\colon x_1\\neq x_2\\right\\},\\\\X_2&=\\left\\{\\{x_1,x_2\\}\\colon (x_1,x_2)\\in\\widetilde{X}\\right\\}.\\end{align*}As usual, $\\mathbb{T}$ stands for the set of all unimodular complex numbers. We also denote $$\\mathbb{T}^+=\\left\\{e^{it}\\colon t\\in [0,\\pi[\\right\\}.$$An application of Urysohn's lemma shows that if $X$ is a first countable compact Hausdorff space and $(x_1,x_2)\\in\\widetilde{X}$, then there exists a continuous function $h_{(x_1,x_2)}\\colon X\\to [0,1]$ with $h_{(x_1,x_2)}^{-1}(\\{1\\})=\\{x_1\\}$ and $h_{(x_1,x_2)}^{-1}(\\{0\\})=\\{x_2\\}$, and hence $$h_{(x_1,x_2)}(x_1)-h_{(x_1,x_2)}(x_2)=1=\\diam(h_{(x_1,x_2)})$$and $$\\left\\{(x,y)\\in\\widetilde{X}\\colon h_{(x_1,x_2)}(x)-h_{(x_1,x_2)}(y)=1\\right\\}=\\left\\{(x_1,x_2)\\right\\}.$$<!--TRUNCATED-->""]"
,,,
"['\\section{Introduction}In this paper, we describe a class of Poisson algebras which appear in the context of infinitesimal geometry of Poisson submanifolds, known also as first class constraints. One of our motivations is to provide a suitable framework for a non-intrinsic Hamiltonian formulation of linearized Hamiltonian dynamics along Poisson submanifolds of nonzero dimension. This question can be viewed as a part of a general Hamiltonization problem for projectable dynamics on fibered manifolds studied in various situations.Let $S$ be an embedded Poisson submanifold of a Poisson manifold \\ec{(M,\\{,\\}_{M})}. Then, for every \\,\\ec{H \\in \\Cinf{M}},\\, the Hamiltonian vector field \\ec{X_{H}} on $M$ is tangent to $S$ and hence can be linearized along $S$. The linearized procedure for \\ec{X_{H}} at $S$ leads to a linear vector field \\,\\ec{\\mathrm{var}_{S}X_{H} \\in \\X{\\mathrm{lin}}(E)}\\, on the normal bundle of $S$ defined as a quotient vector bundle \\,\\ec{E=\\T_{S}M/\\T{S}}.\\,This fact gives rise to the so-called Hamiltonization problem for \\ec{\\mathrm{var}_{S}X_{H}} which is formulated in a class of Poisson algebras on the space of fiberwise affine functions \\ec{\\Cinf{\\mathrm{aff}}(E)} on $E$. In general, this setting can not be extended to the level of Poisson structures on $E$, because of the following observation due to I. M\\u{a}rcut: a first-order local model for the Poisson structure around the Poisson submanifold $S$ does not always exists.By using the infinitesimal data of the Poisson submanifold $S$, we introduce a family of Poisson algebras on \\ec{\\Cinf{\\mathrm{aff}}(E)} whose Lie brackets \\ec{\\{,\\}^{\\LL}} are parameterized by transversals $\\LL$ of $S$. These algebras are called \\emph{infinitesimal Poisson algebras} and, in fact, are independent of $\\LL$ modulo isomorphisms. For every $\\LL$, the first variation system defines a derivation of the corresponding Poisson algebra.If the flow of the Hamiltonian vector field \\ec{X_{H}} admits an invariant transversal \\,\\ec{\\LL \\subset \\T_{S}M}\\, of the Poisson submanifold $S$, then the first variation system \\ec{\\mathrm{var}_{S}X_{H}} is a Hamiltonian derivation of the corresponding infinitesimal Poisson algebra. The converse is also true.In the case, when $S$ is a symplectic leaf, this criterion is valid in a class of Poisson structures around $S$, called coupling Poisson structures. Here, we also give an application of this result to the linearization of Hamiltonian group actions at $S$. An interesting question is to extend such a criterion to general Poisson submanifolds using, for example, an approach developed in recent unpublished results on the existence of local models. <!--TRUNCATED-->']",,,"['\\section{Preliminaries}\\label{preliminaries}Here, we recall some facts about Poisson submanifolds; for more details see \\cite{We83, M.C.Marle2000, Zambon}.Let \\ec{(M,\\Pi)} be a Poisson manifold equipped with a Poisson bivector field \\,\\ec{\\Pi \\in \\Gamma\\wedge^{2}\\T{M}}\\, and the Poisson bracket    \\begin{equation*}        \\{f,g\\}_{M} \\,=\\, \\Pi(\\dd{f},\\dd{g}), \\quad f,g \\in \\Cinf{M}.    \\end{equation*}An (immersed) submanifold \\,\\ec{\\iota: S \\hookrightarrow M}\\, is said to be a \\emph{Poisson submanifold} of $M$ if the \\emph{Poisson bivector field $\\Pi$ is tangent} to $S$:    \\begin{equation}\\label{Po1}        \\Pi_{q} \\in \\wedge^{2}\\T_{q}S, \\quad \\forall\\, q \\in S.    \\end{equation}This means that $S$ inherits a (unique) Poisson structure \\,\\ec{\\Pi_{S} \\in \\Gamma\\wedge^{2}\\T{S}}\\, such that the inclusion $\\iota$ is a Poisson map. The corresponding Poisson bracket is denoted by    \\begin{equation*}        \\big\\{\\bar{f},\\bar{g}\\big\\}_{S} \\,:=\\, \\Pi_{S}\\big(\\dd{\\bar{f}},\\dd{\\bar{g}}\\big), \\quad \\bar{f},\\bar{g} \\in \\Cinf{S}.    \\end{equation*}There are several equivalent characterizations of when a submanifold is Poisson. Consider the induced bundle morphism \\,\\ec{\\Pi^{\\natural}:\\T^{\\ast}M \\rightarrow \\T{M}}\\, defined by \\,\\ec{\\alpha \\mapsto \\Pi^{\\natural}(\\alpha) := \\ii_{\\alpha}\\Pi},\\, and denote by \\ec{{\\T{S}}^{\\circ}} the annihilator of $\\T{S}$. Then, condition (\\ref{Po1}) can bereformulated in one of the following ways:    \\begin{equation}\\label{Po2}        \\Pi^{\\natural}\\big({\\T{S}}^{\\circ}\\big) = \\{0\\} \\qquad \\text{or} \\qquad \\Pi^{\\natural}\\big(\\T_{S}^{\\ast}M\\big) \\,\\subseteq\\, \\T{S}.    \\end{equation}This implies that every Hamiltonian vector field \\,\\ec{X_{H} = \\Pi^{\\natural}\\dd{H}}\\, is \\emph{tangent} to $S$. Moreover, if $S$ is an embedded submanifold, then the first condition in (\\ref{Po2}) is equivalent to the following: the vanishing ideal \\ec{I(S) = \\left\\{f \\in \\Cinf{M} \\,|\\, f|_{S = 0\\right\\}} is also an \\emph{ideal in the Lie algebra} \\ec{(\\Cinf{M},\\{,\\}_{M})}. <!--TRUNCATED-->']"
,,,"['The first variation system admits the following $\\LL$-dependent decomposition into horizontal and vertical components    \\begin{equation}\\label{HF1}        \\mathrm{var}_{S}X_{H} \\,=\\, \\mathrm{hor}_{\\dd{h}}^{\\D^{\\LL}} +\\, \\ii_{\\dd\\ell_{\\eta^{\\LL}}}\\Lambda,    \\end{equation}where \\,\\ec{h = H|_{S}}\\, and \\,\\ec{\\eta^{\\LL} \\in \\Gamma{E^{\\ast}}}\\, is defined by (\\ref{LH2}).<!--TRUNCATED-->']"
"['\\section{Introduction}Different versions of Burnside Problem ask what one can say about finitely generated periodic groups under additional assumptions. Kurosh type problems ask similar questions about properties of finitely generated nil (more generally, algebraic) associative algebras. In case of finitely generated Lie algebras, the periodicity is replaced by the condition that the adjoint mapping is nil. In particular, for Lie $p$-algebras one assumes that the $p$-mapping is nil. One of recent important directions in these areas is to study the growth of finitely generated (periodic) groups and (nil) algebras~\\cite{ErshlerZheng20,BellZel19}. The goal of this paper is to construct finitely generated nil restricted Lie algebras with extremely slow quasi-linear growth, these algebras are needed in further research~\\cite{Pe20flies}.The General Burnside Problem asks whether a finitely generated periodic group is finite. The first negative answer was given by Golod and Shafarevich: they proved that there exist finitely generated infinite $p$-groups for each prime $p$~\\cite{Golod64}. As an important instrument, they first construct finitely generated infinite dimensional associative nil-algebras~\\cite{Golod64}. Using this construction, there are also examples of infinite dimensional 3-generated Lie algebras $L$ such that $(\\ad x)^{n(x,y)}(y)=0$, for all $x,y\\in L$, the field being arbitrary~\\cite{Golod69}. Similarly, one easily obtains infinite dimensional finitely generated restricted Lie algebras $L$ with a nil $p$-mapping.The Grigorchuk and Gupta-Sidki groups play fundamental role in modern group theory. They are natural examples of self-similar finitely generated periodic groups. The author constructed their analogue in case of restricted Lie algebras of characteristic 2~\\cite{Pe06}, Shestakov and Zelmanov extended this construction to an arbitrary positive characteristic~\\cite{ShZe08}. Now, we construct a family of so called {\\it clover } 3-generated restricted Lie algebras $\\mathbf{T}(\\Xi)$, where a field of positive characteristic is arbitrary and $\\Xi$ an infinite tuple of positive integers. All these algebras have a nil $p$-mapping. We prove that $1\\le \\mathrm{GKdim}\\mathbf{T}(\\Xi)\\le 3$. We compute Gelfand-Kirillov dimensions of clover restricted Lie algebras with periodic tuples and show that these dimensions for constant tuples are dense on $[1,3]$. We construct a subfamily of nil restricted Lie algebras $\\TT(\\Xi_{q,\\kappa})$, with parameters $q\\in \\N$, $\\kappa\\in\\R^+$, having extremely slow {\\it quasi-linear} growth of type: $\\gamma_{\\mathbf{T}(\\Xi_{q,\\kappa})}(m)=m \\big(\\underbrace{\\ln\\cdots\\ln}_q  m\\big )^{\\kappa+o(1)}$, as $m\\to\\infty$.The present research is motivated by a construction by Kassabov and Pak of groups of oscillating growth~\\cite{KasPak13}. As an analogue, we construct nil restricted Lie algebras of intermediate oscillating growth in~\\cite{Pe20flies}. We call them {\\it Phoenix algebras} because, for infinitely many periods of time, the algebra is ""almost dying"" by having a ""quasi-linear"" growth as above, for infinitely many $n$ it has a rather fast intermediate growth of type $\\exp( n/ (\\ln n)^{\\lambda})$, for such periods the algebra is ""resuscitating"". The present construction of 3-generated nil restricted Lie algebras of quasi-linear growth is an important part of that result, responsible for the lower quasi-linear bound in that construction. <!--TRUNCATED-->']",,,"['\\section{Basic notions: restricted Lie algebras, Growth}\\label{Sdef}Let $K$ be an arbitrary field of positive characteristic $p$, $\\langle S\\rangle_K$ denotes a linear span of a subset $S$ in a $K$-vector space. Let $L$ be a Lie algebra, then $U(L)$ denotes the universal enveloping algebra. Long commutators are {\\it right-normed}: $[x,y,z]:=[x,[y,z]]$. We use a standard notation $\\ad x(y)=[x,y]$, where $x,y\\in L$. Also, we use the notation $[x^k,y]:=(\\ad x)^k (y)$, where $k\\ge 1$, $x,y\\in L$; in case $k=p^l$, we have also $[x^{p^l},y]=[x^{[p^l]},y]$, in terms of the $p$-mapping (see below).Let $L$ be a Lie algebra over a field $K$ of characteristic $p>0$. Then $L$ is called a \\textit{restricted Lie algebra} (or \\textit{Lie $p$-algebra}), if it is additionally supplied with a unary operation $x\\mapsto x^{[p]}$, $x\\in L$, that satisfies the following axioms~\\cite{JacLie,Ba,Strade1,StrFar,BMPZ}:\\begin{itemize}\\item $(\\lambda x)^{[p]}=\\lambda^px^{[p]}$, for $\\lambda\\in K$, $x\\in L$;\\item $\\ad(x^{[p]})=(\\ad x)^p$, $x\\in L$;\\item $(x+y)^{[p]}=x^{[p]}+y^{[p]}+\\sum_{i=1}^{p-1}s_i(x,y)$, for all $x,y\\in L$, where $i s_i(x,y)$~is the coefficient of $t^{i-1}$ in the polynomial $\\operatorname{ad}(tx+y)^{p-1}(x)\\in L[t]$.\\end{itemize}Let $A$ be an associative algebra over a field ~$K$. If the vector space $A$ is supplied with a new product $[x,y]=xy-yx$, $x,y\\in A$, one obtains a Lie algebra denoted by $A^{(-)}$. In case $\\operatorname{char}K=p>0$, the mapping $x\\mapsto x^p$, $x\\in A^{(-)}$, satisfies the three axioms above. <!--TRUNCATED-->']"
,,,
,,,"['\\bibitem{PeSh18FracPJ}   Petrogradsky\\,V., and Shestakov I.P.,   Fractal nil graded Lie, associative, Poisson, and Jordan superalgebras, preprint, arXiv:1804.08441.\\bibitem{Rad86}   Radford~D. E.,   Divided power structures on Hopf algebras and embedding   Lie algebras into special-derivation algebras,   {\\it J. Algebra}, {\\bf 98} (1986), 143--170.\\bibitem{Razmyslov}   Razmyslov Yu.P., {\\it Identities of algebras and their representations}.   AMS, Providence RI 1994.\\bibitem{Rozh96}   Rozhkov, A.V.   Lower central series of a group of tree automorphisms,   {\\it Math. Notes} {\\bf 60}, No.2, 165--174 (1996);   translation from   {\\it Mat. Zametki} {\\bf 60}, No.2, 225--237 (1996).<!--TRUNCATED-->']"
"['\\section{Introduction}\\label{sec:intro}Linear programming (LP) is one of the most useful tools available to theoreticians and practitioners throughout science and engineering. It has been extensively used to solve various problems in a wide range of areas, including operations research, engineering, economics, or even in more abstract mathematical areas such as combinatorics. Also in machine learning and numerical optimization, LP appears in numerous settings, including $\\ell_1$-regularized SVMs~\\cite{zhu20041}, basis pursuit (BP)~\\cite{yang2011alternating}, sparse inverse covariance matrix estimation (SICE)~\\cite{yuan2010high}, the nonnegative matrix factorization (NMF)~\\cite{recht2012factoring}, MAP inference~\\cite{meshi2011alternating}, etc.One of the most successful paradigms for solving LPs is the family of Interior Point Methods (IPMs), pioneered by Karmarkar in the mid 1980s~\\cite{karmarkar84}. Path-following IPMs and, in particular, long-step path following IPMs, are among the most practical approaches for solving linear programs. The core computational bottleneck in IPMs is the need to solve the linear system of eqn.~(\\ref{eq:normal}) at each iteration. This leads to two key challenges: first, for high-dimensional matrices $\\Ab$, solving the linear system is computationally prohibitive. Second, an alternative to direct solvers is the use of iterative solvers, but the situation is further complicated since $\\Ab\\Db^2\\Ab^\\ts$ is typically ill-conditioned.In this paper, we address the aforementioned challenges, for the special case where $m \\ll n$, i.e., the number of constraints is much smaller than the number of variables. This is a common setting in many applications of LP solvers. For example, in machine learning, $\\ell_1$-SVMs and basis pursuit problems often exhibit such structure when the number of available features ($n$) is larger than the number of objects ($m$). First, we propose and analyze a preconditioned Conjugate Gradient (CG) iterative solver for the normal equations of eqn.~(\\ref{eq:normal}), using matrix sketching constructions from the Randomized Linear Algebra (RLA) literature. Second, building upon the work of~\\cite{Mon03}, we propose and analyze a provably accurate long-step \\textit{infeasible} IPM algorithm. Third, we empirically show that our algorithm performs well in practice. We consider solving LPs that arise from $\\ell_1$-regularized SVMs and test them on a variety of synthetic and real-world data sets. <!--TRUNCATED-->']",,,"[""\\subsection{Comparison with Related Work}\\label{sxn:comparison}There is a large body of literature on solving LPs using IPMs. We only review literature that is immediately relevant to our work. Recall that we solve the normal equations inexactly at each iteration, and develop a way to \\emph{correct} for the error incurred. We also focus on IPMs that can use an sufficiently positive, infeasible initial point (see Section~\\ref{sxn:contrib}). The use of an approximate iterative solver for eqn.~(\\ref{eq:normal}), followed by a correction step to ``fix'' the approximate solution was proposed in~\\cite{Mon03}. We propose efficient, RLA-based approaches to precondition and solve eqn.~(\\ref{eq:normal}), as well as a novel approach to correct for the approximation error in order to guarantee the convergence of the IPM algorithm. Specifically,~\\cite{Mon03} propose to solve eqn.~\\eqref{eq:normal} using the so-called \\emph{maximum weight basis} preconditioner \\cite{RV93}. However, computing such a preconditioner needs access to a maximal linearly independent set of columns of $\\Ab\\Db$ in each iteration, which is costly, taking $\\Ocal(\\dimone^2\\dimtwo)$ time in the worst-case.The line of research in the Theoretical Computer Science literature that is closest to our work is~\\cite{daitch2008faster}, who presented an IPM that uses an approximate solver in each iteration. However, their accuracy guarantee is in terms of the final objective value which is different from ours. More importantly,~\\cite{daitch2008faster} focuses on \\textit{short-step}, feasible IPMs, whereas ours is \\emph{long-step} and does not require a feasible starting point. We also note that in the Theoretical Computer Science literature,~\\cite{LS13,lee2013path2, LS14,LS15,lee2019solving,CLS19} proposed and analyzed theoretically ground-breaking algorithms for LPs based on novel tools such as the so-called \\emph{inverse maintenance} for accelerating the linear system solvers in IPMs. However, all these endeavors are primarily focused on the theoretically fast but practically inefficient short-step feasible IPMs. In contrast, our work is focused on infeasible \\textit{long-step} IPMs, known to work efficiently in practice. <!--TRUNCATED-->""]"
,"['\\section{The Infeasible IPM algorithm}\\label{sxn:IIPM}In order to avoid spurious solutions, primal-dual path-following IPMs bias the search direction towards the \\emph{central path} and restrict the iterates to a neighborhood of the central path. This search is controlled by the \\emph{centering parameter} $\\sigma\\in[0,1]$.At each iteration, given the current solution $(\\xb^{k},\\yb^{k},\\sbb^{k})$, a standard infeasible IPM obtains the search direction $(\\Delta\\xb^k,\\Delta\\yb^k,\\Delta\\sbb^k)$ by solving the following system of linear equations:\\begin{subequations}\\label{eq:system}\t\\begin{flalign}\t\t\\Ab\\Db^2\\Ab^\\ts\\Delta\\yb^k=~&\\pb^k\\,,\\label{eq:normal1}\\\\\t\t\\Delta\\sbb^k=~&-\\rb^k_d-\\Ab^\\ts\\Delta\\yb^k\\,,\\label{eq:dels}\\\\\t\t\\Delta\\xb^k=~&-\\xb^k+\\sigma\\mu_k\\Sb^{-1}\\one_\\dimtwo-\\Db^2\\Delta\\sbb^k.\\label{eq:delx}\t\\end{flalign}\\end{subequations}After solving the above system, the infeasible IPM Algorithm~\\ref{algo:iipm} proceeds by computing a step-size $\\alphabar$ to return:\\begin{flalign}\\label{eqn:update}\t(\\xb^{k+1},\\yb^{k+1},\\sbb^{k+1}) = (\\xb^{k},\\yb^{k},\\sbb^{k}) + \\alphabar (\\Delta \\xb^k,\\Delta \\yb^k,\\Delta \\sbb^k).\\end{flalign}Given $\\Delta\\yb^k$ from eqn.~(\\ref{eq:normal1}), $\\Delta\\sbb^k$ and $\\Delta\\xb^k$ are easy to compute from eqns.~\\eqref{eq:dels} and \\eqref{eq:delx}, as they only involve matrix-vector products. However, since we use Algorithm~\\ref{algo:PCG} to solve eqn.~\\eqref{eq:normal1} approximately using the sketching-based preconditioned CG solver, the primal and dual residuals \\textit{do not} lie on the line segment between $\\zero$ and $\\rb^0$.For notational simplicity, we now drop the dependency of vectors and scalars on the iteration counter $k$. Let $\\hat{\\Delta \\yb}=\\Qb^{\\nicefrac{-1}{2}}\\tilde{\\zb}^t$ be the approximate solution to eqn.~(\\ref{eq:normal1}). In order to account for the loss of accuracy due to the approximate solver, we compute $\\hat{\\Delta\\xb}$ as follows:\\begin{flalign}\t\\hat{\\Delta\\xb}=~-\\xb+\\sigma\\mu\\Sb^{-1}\\one_\\dimtwo-\\Db^2\\hat{\\Delta\\sbb}-\\Sb^{-1}\\vb\\label{eq:delxhat}.\\end{flalign}Here $\\vb\\in\\R{n}$ is a perturbation vector that needs to exactly satisfy the following invariant at each iteration of the infeasible IPM:\\begin{flalign}\t\\Ab\\Sb^{-1}\\vb=\\Ab\\Db^2\\Ab^\\ts\\hat{\\Delta\\yb}-\\pb\\,\\label{eq:addl}.\\end{flalign}We note that the computation of $\\hat{ \\Delta \\sbb}$ is still done using, essentially, eqn.~\\eqref{eq:dels}, namely\\begin{flalign}\\Delta\\hat{\\sbb}^k=~&-\\rb^k_d-\\Ab^\\ts\\hat{\\Delta\\yb}^k.\\label{eq:delshat}\\end{flalign}In \\cite{Mon03} it is argued that if $\\vb$ satisfies eqn.~\\eqref{eq:addl}, the primal and dual residuals lie in the correct line segment.\\vspace{0.02in}\\noindent\\textbf{Construction of $\\vb$.} There are many choices for $\\vb$ satisfying eqn.~\\eqref{eq:addl}. To prove convergence, it is desirable for $\\vb$ to have a']",,"['\\begin{lemma}\\label{lem:fullrankR}\tLet $\\Wb\\in\\RR{\\dimtwo}{w}$ be the sketching matrix of Section~\\ref{sxn:background} and $\\vb$ be the perturbation vector of eqn.~(\\ref{eq:compv}). Then, with probability at least $1-\\delta$, $\\rank(\\Ab\\Db\\Wb)=\\dimone$ and\t$\\vb$ satisfies eqn.~\\eqref{eq:addl}.\\end{lemma}\\begin{proof}\tLet $\\Ab\\Db=\\Ub\\Sigmab\\Vb^\\ts$ be the thin SVD representation of $\\Ab\\Db$.\tWe use the exact same $\\Wb$ as discussed in Section~\\ref{sxn:PCG}.  Therefore, eqn.~\\eqref{eq:cnd1} holds with probability $1-\\delta$ and it directly follows from the proof of Lemma~\\ref{lem:cond3} that $\\rank(\\Ab\\Db\\Wb)=\\dimone$.Recall that $\\Ab\\Db\\Wb$ has full \\emph{row-rank} and thus $\\Ab\\Db\\Wb\\,(\\Ab\\Db\\Wb)^\\dagger=\\Ib_\\dimone$. Therefore, taking $\\vb=(\\Xb\\Sb)^{\\nicefrac{1}{2}}\\Wb(\\Ab\\Db\\Wb)^{\\dagger}(\\Ab\\Db^2\\Ab^\\ts\\hat{\\Delta\\yb}-\\pb)$, we get%\t\\begin{flalign*}\t\\Ab\\Sb^{-1}\\,\\vb=&~\\Ab\\Sb^{-1}(\\Xb\\Sb)^{\\nicefrac{1}{2}}\\Wb(\\Ab\\Db\\Wb)^{\\dagger}(\\Ab\\Db^2\\Ab^\\ts\\hat{\\Delta\\yb}-\\pb)\\nonumber\\\\\t=&~\\Ab\\Db\\Wb(\\Ab\\Db\\Wb)^{\\dagger}(\\Ab\\Db^2\\Ab^\\ts\\hat{\\Delta\\yb}-\\pb)\\nonumber\\\\\t=&~\\Ab\\Db^2\\Ab^\\ts\\hat{\\Delta\\yb}-\\pb\\,,\t\\end{flalign*}\twhere the second equality follows from $\\Db = \\Xb^{1/2}\\Sb^{-1/2}$.\\end{proof}']"
,,,"['\\begin{figure}[t]\t\\centering\t\\subfigure[Max. Inner CG Iterations.]{\t\t%\\label{fig:ARCENE_iter} %% label for first subfigure\t\t\\includegraphics[width=2.57in]{svm_ARCENE_m100_n20001_6_cg_iter.eps}}\t\\subfigure[Max. Condition Number.]{\t\t\\label{fig:ARCENE_iter} %% label for first subfigure\t\t\\includegraphics[width=2.57in]{svm_ARCENE_m100_n20001_7_kap.eps}}\t\\caption{\\emph{ARCENE data set}: for various ($w$, \\tolCG) settings,\t\t(a)~the maximum number of inner iterations used by our algorithm and (b)~the maximum condition number of \\precNormal, across outer iterations. The standard IPM, across all settings, needed on the order of 1,000 iterations and  $\\kappa(\\Ab \\Db^2\\Ab^T)$ was on the order of $10^{8}$.\t\tThe relative error was fixed to $0.04\\%$. }\t\\label{fig:ARCENE} %% label for entire figure\\end{figure}']"
